psoda,pfries,pentree,wagest,nmgrs,nregs,hrsopen,emp,psoda2,pfries2,pentree2,wagest2,nmgrs2,nregs2,hrsopen2,emp2,compown,chain,density,crmrte,state,prpblck,prppov,prpncar,hseval,nstores,income,county,lpsoda,lpfries,lhseval,lincome,ldensity,NJ,BK,KFC,RR
1.12,1.0599999,1.02,4.25,3,5,16,27.5,1.11,1.11,1.05,5.0500002,5,5,15,27,1,3,4030,.052886602,1,.1711542,.036578901,.078842796,148300,3,44534,18,.11332869,.058268853,11.906993,10.704008,8.3015213,1,0,0,1
1.0599999,.91000003,.94999999,4.75,3,3,16.5,21.5,1.05,.88999999,.94999999,5.0500002,4,3,17.5,24.5,0,1,4030,.052886602,1,.1711542,.036578901,.078842796,148300,3,44534,18,.058268853,-.094310649,11.906993,10.704008,8.3015213,1,1,0,0
1.0599999,.91000003,.98000002,4.25,3,5,18,30,1.05,.94,.98000002,5.0500002,4,5,17.5,25,0,1,11400,.0360003,1,.0473602,.087907203,.2694298,169200,3,41164,12,.058268853,-.094310649,12.038836,10.625319,9.3413687,1,1,0,0
1.12,1.02,1.0599999,5,4,5,16,27.5,1.15,1.05,1.05,5.0500002,4,5,16,,0,3,8345,.048423201,1,.052839398,.0591227,.1366903,171600,3,50366,10,.11332869,.019802609,12.052921,10.827071,9.029418,1,0,0,1
1.12,,.49000001,5,3,3,16,5,1.04,1.01,.57999998,5.0500002,3,3,16,12,0,1,720,.061588999,1,.034480002,.0254145,.073802002,249100,1,72287,10,.11332869,,12.42561,11.188399,6.5792513,1,1,0,0
1.0599999,.94999999,1.01,4.25,4,4,15,17.5,1.05,.94,1,5.0500002,3,4,15,28,0,1,4424,.033482298,1,.059132699,.083500102,.1151341,148000,2,44515,18,.058268853,-.051293306,11.904967,10.703582,8.3947992,1,1,0,0
1.17,.94999999,.94999999,4.6500001,3,2,16,22.5,1.05,.94,.94,5.0500002,3,2,16,18.5,0,1,2678,.031029601,1,.0186773,.029234899,.050185401,212700,1,62056,10,.15700372,-.051293306,12.267638,11.035792,7.8928256,1,1,0,0
1.17,1.02,1.0599999,4.5,3,5,17,18.5,1.11,1.0599999,1.05,5.0500002,3,5,16,17,1,3,6405,.041900098,1,.0049060001,.033759899,.082710497,198800,1,53655,24,.15700372,.019802609,12.200054,10.89033,8.7648344,1,0,0,1
1.1799999,1.02,1.0599999,,4,4,17,17,1.1,1.01,.99000001,5.0500002,4,4,18,34,0,1,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.16551439,.019802609,11.550221,10.351821,9.8194532,1,1,0,0
1.17,1.12,1.02,4.25,3,5,18,27,1.11,1.12,1.05,5.0500002,6,5,17,22,1,3,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.15700372,.11332869,11.550221,10.351821,9.8194532,1,0,0,1
1.0599999,1.02,2.3399999,4.75,3,5,12,11,1.05,1.05,2.3199999,5.0500002,5,5,12,32.5,1,2,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.058268853,.019802609,11.550221,10.351821,9.8194532,1,0,1,0
1.0599999,1.05,1.0599999,4.5,4,2,15.5,20,1.11,1.09,2.0699999,5.0500002,4,2,15.5,20,0,4,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.058268853,.04879012,11.550221,10.351821,9.8194532,1,0,0,0
1.05,.94999999,2.74,4.25,3,5,13.5,17,1.05,.83999997,2.3199999,5.0500002,2,5,12.5,9.5,0,2,11401,.14823,1,.92105591,.2036816,.391949,103800,5,31314,10,.04879012,-.051293306,11.550221,10.351821,9.3414564,1,0,1,0
1.17,1.0599999,1.17,4.3499999,4,,15,7.5,,,,,0,,,0,1,1,12627,.0304465,1,.0139109,.084539898,.2272727,191300,1,38569,2,.15700372,.058268853,12.161598,10.560205,9.443593,1,1,0,0
1.15,.94999999,.94999999,4.5,2,2,16,8,1.16,1.01,1.05,5.0500002,2,2,16,8,0,1,12799,.037534799,1,.0102124,.0598162,.1416858,282800,2,60657,2,.13976192,-.051293306,12.552495,11.01299,9.4571218,1,1,0,0
1.27,1.17,1.1,5,4,4,16.5,20,1.37,1.16,1.16,5.0500002,5,4,16.5,22.5,0,1,12799,.037534799,1,.0102124,.0598162,.1416858,282800,2,60657,2,.23901689,.15700372,12.552495,11.01299,9.4571218,1,1,0,0
1.0599999,.91000003,.98000002,5.5599999,4,5,16,37.5,1.01,.94,.94,5.0500002,4,5,16,20,0,1,6039,.031700999,1,.0060903998,.038650699,.0757396,167700,2,47891,28,.058268853,-.094310649,12.029932,10.776683,8.7059937,1,1,0,0
1.0599999,.98000002,1.0599999,4.6199999,3,2,12.5,16.5,1.05,.88999999,2.1099999,5.1399999,3,2,12.5,22,0,4,11187,.050875202,1,.0035406,.1118771,.2258587,138000,1,36705,12,.058268853,-.020202687,11.835009,10.510668,9.3225079,1,0,0,0
1.0599999,.91000003,.98000002,4.25,5,4,16,24,1.05,.89999998,1.04,5.0500002,4,4,16,19,0,1,3750,.0607903,1,.0104519,.060848899,.1745955,166500,1,43022,12,.058268853,-.094310649,12.022751,10.669467,8.2295113,1,1,0,0
1.2,1.02,1.02,5.5,3,5,13.5,19,1.11,1.11,1.05,5.0500002,4,5,13,14,0,3,1901,.034010999,1,.0073866001,.0135908,.0190736,245400,3,79025,10,.18232159,.019802609,12.410645,11.277519,7.5501351,1,0,0,1
.94999999,.94999999,1.0599999,4.5,3,4,13.5,23,1.01,.94,.94,5.5,3,4,13.5,27.5,0,1,1901,.034010999,1,.0073866001,.0135908,.0190736,245400,3,79025,10,-.051293306,-.051293306,12.410645,11.277519,7.5501351,1,1,0,0
1.11,.94999999,1.01,4.25,4,2,16,17.5,.94,.94,1,5.0500002,4,2,15.5,17.5,0,1,5413,.051865902,1,.120063,.032298699,.073536903,198800,1,65296,10,.10436003,-.051293306,12.200054,11.086686,8.5965586,1,1,0,0
1.02,1.02,.94999999,,3,3,16,,.89999998,.94999999,.94999999,5.0500002,4,3,16,19,0,1,6085,.055474602,1,.4336102,.076527499,.150848,245900,1,56893,10,.019802609,.019802609,12.412681,10.948928,8.713582,1,1,0,0
1.0599999,.98000002,1.0599999,5,3,,14,17,1.11,1.09,2.0699999,5.0500002,6,,12.5,17.5,0,4,8966,.052732699,1,.022127001,.092750497,.23658679,173500,3,40719,12,.058268853,-.020202687,12.063932,10.61445,9.1011953,1,0,0,0
1.27,1.01,1.0599999,4.25,4,3,17,21,1.37,1.02,1.05,5.0500002,5,3,17,23,0,1,8966,.052732699,1,.022127001,.092750497,.23658679,173500,3,40719,12,.23901689,.0099503212,12.063932,10.61445,9.1011953,1,1,0,0
1.17,.94999999,.85000002,4.75,6,2,16,16,1.37,.94999999,2.03,5.0500002,6,2,16,17,0,4,13602,.1087385,1,.69636512,.1611239,.26042259,119300,1,33306,10,.15700372,-.051293306,11.689397,10.413493,9.517972,1,0,0,0
1.1799999,1.02,1.0599999,5.0999999,3,6,17,32.5,1.1,1,1.05,5.0500002,3,6,17,22.5,1,3,3232,.046390299,1,.0557306,.0403421,.075137801,201600,2,59266,10,.16551439,.019802609,12.214041,10.989791,8.0808563,1,0,0,1
1.0599999,.94999999,.94999999,4.75,3,3,16,21,1.05,.94999999,.94999999,5.0500002,4,3,15,23,0,1,3232,.046390299,1,.0557306,.0403421,.075137801,201600,2,59266,10,.058268853,-.051293306,12.214041,10.989791,8.0808563,1,1,0,0
1.17,.94999999,1.02,5.1199999,4,3,15,42.5,1.16,.94,.94,5.0500002,5,3,15,18.75,0,1,1995,.0288791,1,.032352298,.026696,.063924797,218600,3,57424,21,.15700372,-.051293306,12.294999,10.958218,7.5983992,1,1,0,0
1.0599999,.88999999,1.0599999,5,3,2,12.5,25,1.05,.98000002,1.05,5.0500002,4,2,12.5,18.5,0,4,1995,.0288791,1,.032352298,.026696,.063924797,218600,3,57424,21,.058268853,-.11653383,12.294999,10.958218,7.5983992,1,0,0,0
1.12,1.02,1.0599999,5,4,7,17,20.5,1.11,1.0599999,1.05,5.0500002,4,7,17,32,1,3,1995,.0288791,1,.032352298,.026696,.063924797,218600,3,57424,21,.11332869,.019802609,12.294999,10.958218,7.5983992,1,0,0,1
1.1,.97000003,1.17,4.25,,4,18,29,1.11,1.01,1.09,5.0500002,4,4,18,20,1,1,18138,.067245603,1,.2046583,.1691744,.30424401,163000,2,30877,24,.095310204,-.030459179,12.001506,10.337767,9.8057642,1,1,0,0
1.1,1.02,1.0599999,5.25,3,6,17,30,1.11,1.0599999,1.05,5.0500002,3,6,16,17,1,3,822,.020512801,1,.0050960998,.0085348999,.0102362,292400,1,82797,21,.095310204,.019802609,12.585878,11.324147,6.7117405,1,0,0,1
1.0599999,1.01,2.5599999,4.5,2,3,11,3.5,1.05,1.05,2.6400001,5.0500002,3,3,11,6.5,0,2,7761,.075933598,1,.35989511,.093170099,.1330847,175600,5,47738,28,.058268853,.0099503212,12.075964,10.773483,8.9568663,1,0,1,0
1.0599999,1.17,2.5599999,4.5,1,3,10,7,,1.05,2.6400001,,3,3,10,7,0,2,6970,.073060602,1,.35989511,.093170099,.1330847,175600,5,47738,26,.058268853,.15700372,12.075964,10.773483,8.849371,1,0,1,0
1.12,1.02,1.0599999,4.9499998,3,5,11.5,12.5,1.22,1.11,.73000002,5.0500002,3,5,11.5,14.5,1,3,6970,.073060602,1,.35989511,.093170099,.1330847,175600,5,47738,26,.11332869,.019802609,12.075964,10.773483,8.849371,1,0,0,1
.95999998,.94999999,2.1300001,4.5,4,2,11.5,28.25,1.03,,,5.0500002,3,2,11.5,22,0,4,7761,.075933598,1,.63680297,.081668898,.1053588,142300,1,48209,28,-.040822018,-.051293306,11.865693,10.783301,8.9568663,1,0,0,0
1.12,1,1.02,4.3499999,3,5,17,27.5,1.05,1.05,1.05,5.0500002,3,5,16,29.5,1,3,3229,.0203021,1,.0048806998,.0182062,.0475192,196500,3,53961,28,.11332869,0,12.188417,10.896017,8.0799274,1,0,0,1
1.0599999,.94999999,1.01,5.3000002,4,3,16,13,1.05,.94,1,5.0500002,6,3,16,8.5,1,1,3229,.0203021,1,.0048806998,.0182062,.0475192,196500,3,53961,28,.058268853,-.051293306,12.188417,10.896017,8.0799274,1,1,0,0
1.1,.95999998,1.1,5,4,6,18.5,14,1.05,.99000001,1.03,5.0500002,4,6,19,27.5,1,1,6842,.0252389,1,.031984299,.0367507,.094703801,209100,2,55878,2,.095310204,-.040822018,12.250567,10.930926,8.8308353,1,1,0,0
1.1799999,1.0700001,1.17,5,4,6,19,31,1.0599999,1.0599999,1.05,5.0500002,3,6,19,34,0,3,6842,.0252389,1,.031984299,.0367507,.094703801,209100,2,55878,2,.16551439,.0676587,12.250567,10.930926,8.8308353,1,0,0,1
1.09,1.12,1.0599999,5.0500002,,4,18,28.5,1.11,1.0599999,1.05,5.0500002,3,4,16,22.5,1,3,3885,.045011502,1,.0046135001,.038405001,.1214642,174600,1,47113,2,.086177729,.11332869,12.070253,10.760304,8.2648783,1,0,0,1
1.01,.94999999,1.03,5,4,6,15.5,20,1.1,.94,1.02,5.0500002,4,6,15.5,25.5,1,1,1687,.050763201,1,.0032339001,.023414999,.039215699,186800,1,41196,2,.0099503212,-.051293306,12.137794,10.626097,7.430707,1,1,0,0
1.12,1.02,1.0599999,4.5,3,4,11.5,20.25,1.22,1.11,2.28,5.0500002,3,4,11.5,14.5,0,3,2300,.0231569,1,.13147201,.018258199,.039074201,205000,2,62927,28,.11332869,.019802609,12.230765,11.04973,7.7406645,1,0,0,1
1.0700001,1.02,.74000001,4.5,3,6,16.5,19.5,1.11,1.0599999,1.05,5.0500002,3,6,15.5,18,1,3,1863,.038003199,1,.0131481,.0155316,.0197224,473400,1,136529,10,.0676587,.019802609,13.067696,11.824292,7.5299435,1,0,0,1
1.0599999,.94999999,.94999999,4.5,3,3,16,12.5,1.05,.94,.94,5.0500002,3,3,16.5,21,0,1,2499,.053638499,1,.066887498,.0278037,.0266369,161300,3,54216,18,.058268853,-.051293306,11.991021,10.900731,7.8236461,1,1,0,0
1.02,1.0700001,.94999999,5,4,4,17,22,1.11,1.0599999,1.05,5.0500002,5,4,17,11.5,0,3,2499,.053638499,1,.066887498,.0278037,.0266369,161300,3,54216,18,.019802609,.0676587,11.991021,10.900731,7.8236461,1,0,0,1
1.02,.94999999,1.04,4.25,1,4,16,13.5,1.11,1.11,1.03,5.0500002,3,4,15,,0,1,2581,.030253399,1,.0318239,.025715601,.070923202,216500,1,58339,5,.019802609,-.051293306,12.285346,10.974026,7.8559322,1,1,0,0
1.0599999,.85000002,2.3399999,5,5,3,10.5,14,.94,.83999997,2.3199999,5.0500002,1,3,10.5,5.5,1,2,5558,.064469099,1,.0362969,.033493102,.1021236,176800,4,50968,12,.058268853,-.1625189,12.082774,10.838953,8.6229935,1,0,1,0
1.02,,1.0599999,,3,,17,22.5,1.11,1.05,1.05,5.0500002,3,,18,16,1,3,5558,.064469099,1,.0362969,.033493102,.1021236,176800,4,50968,12,.019802609,,12.082774,10.838953,8.6229935,1,0,0,1
1.0599999,.94999999,.94999999,4.75,3,3,16.5,12.5,1.05,.94,.94,5.0500002,4,3,18,,0,1,5558,.064469099,1,.0362969,.033493102,.1021236,176800,4,50968,12,.058268853,-.051293306,12.082774,10.838953,8.6229935,1,1,0,0
1.0599999,.94999999,.94999999,4.25,3,2,16,17.5,1.05,.94999999,.94999999,5.0500002,3,2,16,14.5,0,1,41437,.060522001,1,.0485866,.1676967,.38279891,165400,3,29319,12,.058268853,-.051293306,12.016122,10.285991,10.631929,1,1,0,0
1.17,1.0599999,1.01,4.25,3,5,16,24,1.16,1.16,1,5.0500002,3,5,16,27.25,0,3,41437,.060522001,1,.0485866,.1676967,.38279891,165400,3,29319,12,.15700372,.058268853,12.016122,10.285991,10.631929,1,0,0,1
1.0599999,1.0599999,2.53,5,2,2,10,8,.94,.92000002,2.6900001,5.0500002,2,2,10,5.5,0,2,4441,.0250779,1,.042439099,.016579799,.0401912,248500,1,76689,28,.058268853,.058268853,12.423198,11.247514,8.3986349,1,0,1,0
.95999998,1,1.03,4.25,4,4,16.5,20,1.05,.99000001,1.16,5.0500002,4,4,16.5,22.5,0,1,41437,.060522001,1,.0392887,.1583852,.39587,160300,3,30587,2,-.040822018,0,11.984802,10.32833,10.631929,1,1,0,0
1.17,.94999999,.94999999,4.25,3,4,14.5,11.5,,1.01,1,5.0500002,2,4,14,18.5,1,1,2424,.087973803,1,.023540299,.051843502,.1062685,210800,2,59397,12,.15700372,-.051293306,12.258665,10.991999,7.7931743,1,1,0,0
1.12,1.0700001,1.0599999,,2,6,11.5,17.25,1.21,1.01,.94,5.0500002,3,6,11.5,18.5,1,3,4030,.052886602,1,.042239401,.047436099,.0859714,155300,4,48350,18,.11332869,.0676587,11.953114,10.786222,8.3015213,1,0,0,1
,1.12,1.12,4.25,5,6,12.5,20,1.15,.94,1.15,5.0500002,6,6,12.5,35,0,1,4030,.052886602,1,.042239401,.047436099,.0859714,155300,4,48350,18,,.11332869,11.953114,10.786222,8.3015213,1,1,0,0
1.0599999,.94999999,1.0599999,4.25,4,2,11.5,32.5,1.01,.88999999,1.26,5.0500002,5,2,11.5,55.5,0,4,4030,.052886602,1,.042239401,.047436099,.0859714,155300,4,48350,18,.058268853,-.051293306,11.953114,10.786222,8.3015213,1,0,0,0
1.02,1.01,.51999998,4.25,4,3,15,37.5,1.03,.89999998,.58999997,5.0500002,4,3,16,17.5,0,1,11401,.14823,1,.65992379,.32923591,.62723762,132300,3,20323,10,.019802609,.0099503212,11.792828,9.9195089,9.3414564,1,1,0,0
1.0599999,.85000002,2.3399999,4.75,3,5,11,6.75,1.05,.94,2.3199999,5.25,4,5,14,13.5,1,2,11401,.14823,1,.89916152,.41847971,.61664248,71100,1,15919,10,.058268853,-.1625189,11.171843,9.6752682,9.3414564,1,0,1,0
1.0599999,.85000002,2.3399999,4.25,4,4,11,8,1.05,.83999997,2.53,5.0500002,2,4,11,7.5,1,2,11401,.14823,1,.21426301,.27036461,.43111891,146800,3,24773,10,.058268853,-.1625189,11.896827,10.11751,9.3414564,1,0,1,0
1.12,1.02,1.0599999,4.25,5,4,17,18,1.11,1.01,1.05,5.0500002,3,4,17,10,0,1,11401,.14823,1,.21426301,.27036461,.43111891,146800,3,24773,10,.11332869,.019802609,11.896827,10.11751,9.3414564,1,1,0,0
1.05,.94,1.0700001,4.25,3,3,16,18,1.11,1.09,1,5.0500002,4,3,16,21.5,1,1,11401,.14823,1,.062750801,.1446121,.30510759,117600,2,32241,10,.04879012,-.061875407,11.675044,10.380994,9.3414564,1,1,0,0
1.0599999,.85000002,2.3399999,4.75,3,4,11,3.5,1.01,.83999997,2.3199999,5.0500002,6,4,11,10,0,2,11401,.14823,1,.062750801,.1446121,.30510759,117600,2,32241,10,.058268853,-.1625189,11.675044,10.380994,9.3414564,1,0,1,0
1.0599999,.94999999,1.11,4.25,5,4,16,18,1.15,.94999999,1.13,5.0500002,4,4,16,17.5,0,1,11401,.14823,1,.4554334,.27220419,.45812649,95400,3,24189,10,.058268853,-.051293306,11.465834,10.093654,9.3414564,1,1,0,0
1.0599999,.85000002,2.3399999,4.9499998,2,3,12,7,1.05,.83999997,2.3199999,5.25,3,3,11,20.75,1,2,11401,.14823,1,.4554334,.27220419,.45812649,95400,3,24189,10,.058268853,-.1625189,11.465834,10.093654,9.3414564,1,0,1,0
1.1799999,1.02,1.0599999,4.25,5,6,19,19.5,1.11,1.05,1.05,5.0500002,3,6,18,17.5,1,3,11401,.14823,1,.96246183,.32798409,.51726568,81300,1,21790,10,.16551439,.019802609,11.305902,9.9892063,9.3414564,1,0,0,1
1.12,1.02,1.02,4.25,4,6,17,24,1.11,1.0599999,1.05,5.0500002,6,6,16.5,32.5,1,3,6405,.041900098,1,.035448998,.051643301,.1320658,161800,3,44883,24,.11332869,.019802609,11.994116,10.711814,8.7648344,1,0,0,1
1.0599999,.98000002,2.03,4.75,3,2,12.5,11,1.11,1.09,2.0699999,5.0500002,3,2,12.5,17.5,0,4,10368,.050770201,1,.035448998,.051643301,.1320658,161800,3,44883,10,.058268853,-.020202687,11.994116,10.711814,9.246479,1,0,0,0
1.02,.94999999,.94999999,4.25,3,3,17,12.5,1.05,.94,.94,5.0500002,3,3,17,23.5,0,1,7970,.025240799,1,.0144769,.049851,.087439597,185300,1,51451,10,.019802609,-.051293306,12.129731,10.848385,8.9834394,1,1,0,0
1.0599999,.85000002,2.3399999,4.6199999,8,4,13,25,1.05,.83999997,2.3199999,5.0500002,8,4,13,28.5,1,2,21792,.1247829,1,.69825047,.1237119,.29287419,116600,2,35832,10,.058268853,-.1625189,11.666505,10.486597,9.9892979,1,0,1,0
1.0599999,.85000002,2.3399999,5,2,3,11.5,7,1.05,.83999997,2.3199999,5.0500002,2,3,11.5,12,1,2,9410,.0881439,1,.37249011,.19349951,.2507019,117300,3,28417,28,.058268853,-.1625189,11.67249,10.254743,9.1495285,1,0,1,0
1.1900001,1.1900001,1.0599999,4.25,4,5,18,26.25,1.26,,1.05,5.1999998,6,5,24,37.5,1,3,9410,.0881439,1,.37249011,.19349951,.2507019,117300,3,28417,28,.17395335,.17395335,11.67249,10.254743,9.1495285,1,0,0,1
.91000003,.91000003,1.9400001,4.25,4,2,11.5,14,.97000003,.89999998,2.0599999,5.0500002,3,2,11.5,14.5,0,4,9410,.0881439,1,.0881337,.1346107,.2439099,133700,2,31887,28,-.094310649,-.094310649,11.803353,10.369954,9.1495285,1,0,0,0
1.27,1.27,2.24,4.5,3,5,17,20,1.4,1.29,1.05,5.0500002,4,5,24,17.5,0,3,7524,.0487349,1,.3865509,.050463699,.13482849,139500,1,46803,28,.23901689,.23901689,11.845819,10.753702,8.9258528,1,0,0,1
1.0599999,.91000003,.98000002,4.25,3,3,16,16.5,1.05,.94,.98000002,5.0500002,4,3,16,30,1,1,9850,.0254588,1,.0067308,.033497699,.073532298,159800,2,50665,28,.058268853,-.094310649,11.981678,10.832991,9.1952267,1,1,0,0
1.0599999,.94999999,.94999999,,3,3,16,17.5,1.05,.94,.94,5.0500002,3,3,16,17.5,0,1,7794,.078882299,1,.40581441,.060089301,.099037901,138500,2,46966,28,.058268853,-.051293306,11.838626,10.757179,8.9611092,1,1,0,0
1.27,1.27,1.0599999,4.3899999,3,5,17,10,1.37,1.3099999,1.05,5.0500002,4,5,18,16,1,3,9410,.0881439,1,.1115545,.1091816,.2028275,167200,2,37367,28,.23901689,.23901689,12.026946,10.528543,9.1495285,1,0,0,1
.91000003,.91000003,1.0599999,,4,2,11.5,15,1.01,.94999999,1.05,5.0500002,3,2,11.5,50,0,4,9410,.0881439,1,.1115545,.1091816,.2028275,167200,2,37367,28,-.094310649,-.094310649,12.026946,10.528543,9.1495285,1,0,0,0
1.17,.94999999,.63,4.25,4,3,19,37,1.15,.94999999,.63999999,5.0500002,4,3,19,18.5,0,1,15600,.089775398,1,.47661379,.2363158,.43074891,123400,3,29740,12,.15700372,-.051293306,11.723186,10.300248,9.6550264,1,1,0,0
1.0599999,.85000002,2.3399999,4.75,4,5,12,13,1.05,.83999997,2.3199999,5.1999998,2,5,12,11.5,1,2,15600,.089775398,1,.47661379,.2363158,.43074891,123400,3,29740,12,.058268853,-.1625189,11.723186,10.300248,9.6550264,1,0,1,0
1.1900001,.94,.85000002,4.6199999,4,5,17,28,1.0599999,1.0599999,1.05,5.0500002,3,5,14,21,1,3,15600,.089775398,1,.53318989,.1597511,.32406259,124600,2,35731,12,.17395335,-.061875407,11.732863,10.483774,9.6550264,1,0,0,1
1.17,.94999999,.94999999,4.25,4,5,18,22,1.11,1.0599999,1.05,5.0500002,4,5,16,24.5,1,3,15600,.089775398,1,.53318989,.1597511,.32406259,124600,2,35731,12,.15700372,-.051293306,11.732863,10.483774,9.6550264,1,0,0,1
1.0599999,.94999999,.94999999,4.5,2,4,11.5,9.5,,,,5.0500002,3,4,11,7,1,4,15600,.089775398,1,.15202729,.20417979,.4508839,116000,3,30577,12,.058268853,-.051293306,11.661345,10.328003,9.6550264,1,0,0,0
1.0599999,.94999999,.94999999,4.25,2,3,17,15,1.05,.94999999,.94999999,5.0500002,3,3,17,21,0,1,15600,.089775398,1,.15202729,.20417979,.4508839,116000,3,30577,12,.058268853,-.051293306,11.661345,10.328003,9.6550264,1,1,0,0
1.0599999,1,1.0599999,4.25,4,3,17.5,14.25,1.05,.99000001,1.05,5.0500002,3,3,17.5,18.75,0,1,15600,.089775398,1,.046298102,.15092,.371198,131800,2,34443,12,.058268853,0,11.789041,10.447062,9.6550264,1,1,0,0
1.0599999,1.02,.94999999,4.5,3,3,17,16.5,1.05,.94999999,.94999999,5.0500002,3,3,17,27,0,1,15600,.089775398,1,.046298102,.15092,.371198,131800,2,34443,12,.058268853,.019802609,11.789041,10.447062,9.6550264,1,1,0,0
1.0599999,.94999999,1.02,4.5,5,3,16,45,1.05,.94999999,1.01,5.0500002,5,3,16,25,0,1,3752,.0273268,1,.0039605,.0262524,.0316048,222500,1,64818,21,.058268853,-.051293306,12.312682,11.079339,8.2300444,1,1,0,0
1.04,1.12,1.02,4.25,3,4,16,17.5,1.1900001,.98000002,1.01,5.0500002,3,4,16,17.5,0,1,1131,.037773799,1,.00075100001,.063978799,.0733945,128200,2,42755,27,.039220676,.11332869,11.761347,10.663241,7.0308576,1,1,0,0
1.12,1.02,1.02,5,3,5,17,18,1.11,1.01,1.05,5.0500002,2,5,16,16,1,3,4034,.072693497,1,.0166947,.034431402,.067325599,190900,4,51848,24,.11332869,.019802609,12.159505,10.856071,8.3025141,1,0,0,1
1.0599999,1.03,1.0599999,5,3,2,13.5,15.25,1.11,.98000002,1.05,5.0500002,4,2,13.5,29,0,4,4034,.072693497,1,.0166947,.034431402,.067325599,190900,4,51848,24,.058268853,.029558774,12.159505,10.856071,8.3025141,1,0,0,0
,,,4.25,3,3,17,23,1.16,1.22,.41,5.0500002,3,3,17,22,0,1,697,.0236247,1,.031872999,.035029002,.025974,275900,3,64367,2,,,12.527794,11.072356,6.5467854,1,1,0,0
1.27,1.04,1.12,4.8699999,3,7,17,17,1.26,1.08,1.05,5.0500002,4,7,16,27,1,3,697,.0236247,1,.031872999,.035029002,.025974,275900,3,64367,2,.23901689,.039220676,12.527794,11.072356,6.5467854,1,0,0,1
1.27,1.0700001,2.1300001,4.8699999,4,5,17,32,1.11,1.05,1.05,5.4000001,3,5,16,23,1,3,4170,.0191571,1,0,.0361626,.037531301,217400,2,56380,2,.23901689,.0676587,12.289495,10.93987,8.3356714,1,0,0,1
1.0599999,1.02,.94999999,5,4,4,16,23.5,,,,5.25,5,4,16,22,0,1,4170,.0191571,1,0,.0361626,.037531301,217400,2,56380,2,.058268853,.019802609,12.289495,10.93987,8.3356714,1,1,0,0
1.02,.80000001,,5.25,4,3,15,30,1.05,.94,1.01,5.5,4,3,15,12.5,0,1,1318,.0130866,1,.0115862,.0152639,.015613,215100,1,66569,2,.019802609,-.22314353,12.278858,11.105994,7.1838708,1,1,0,0
1.0599999,.94999999,.94999999,4.8499999,3.3,3,16,25.75,,,,5.0500002,3,3,16,28.5,0,1,4759,.016501,1,.0047324998,.0277091,.033303101,203100,1,61487,2,.058268853,-.051293306,12.221454,11.026581,8.4677925,1,1,0,0
1.0599999,.94999999,.94999999,4.5,3,3,16,27.5,1.05,.94999999,.94999999,5.0500002,3,3,16,19.5,0,1,1889,.056735799,1,.0099892998,.022906199,.0320464,241800,7,65000,24,.058268853,-.051293306,12.395866,11.082143,7.5438027,1,1,0,0
1.0599999,.98000002,1.0599999,4.25,,2,11.5,14.5,1.12,.98000002,.99000001,5.0500002,3,2,12.5,18,0,4,1889,.056735799,1,.0099892998,.022906199,.0320464,241800,7,65000,24,.058268853,-.020202687,12.395866,11.082143,7.5438027,1,0,0,0
1.0599999,.98000002,1.0599999,5,3,2,12,31.5,1.11,.98000002,2.0699999,5.0500002,4,2,11.5,22.5,0,4,1889,.056735799,1,.0099892998,.022906199,.0320464,241800,7,65000,24,.058268853,-.020202687,12.395866,11.082143,7.5438027,1,0,0,0
